DATE,PRCP,TMAX,TMIN
1953-11-18T00:00:00,0.5,13.3,-0.6
1953-11-19T00:00:00,0.5,4.4,-8.3
1953-11-20T00:00:00,0.0,5.6,-10.0
1953-11-21T00:00:00,0.0,1.7,-8.3
1953-11-22T00:00:00,0.0,10.0,-15.6
1953-11-23T00:00:00,0.0,12.8,-3.3
1953-11-24T00:00:00,0.0,8.9,-3.9
1953-11-25T00:00:00,0.0,11.1,-6.1
1953-11-26T00:00:00,0.0,16.1,-2.8
1953-11-27T00:00:00,0.0,13.3,-1.7
1953-11-28T00:00:00,0.0,14.4,-3.9
1953-11-29T00:00:00,0.0,15.6,-5.0
1953-11-30T00:00:00,0.0,15.0,-6.1
1953-12-01T00:00:00,0.0,9.4,-1.1
1953-12-02T00:00:00,24.6,2.8,-5.0
1953-12-03T00:00:00,0.0,1.1,-11.7
1953-12-04T00:00:00,0.0,-1.1,-7.2
1953-12-05T00:00:00,0.0,-0.6,-10.6
1953-12-06T00:00:00,0.0,5.0,-14.4
1953-12-07T00:00:00,0.0,6.7,-10.0
1953-12-08T00:00:00,0.0,1.1,-9.4
1953-12-09T00:00:00,0.0,10.6,-22.8
1953-12-10T00:00:00,0.0,9.4,-6.7
1953-12-11T00:00:00,1.3,3.9,-10.6
1953-12-12T00:00:00,0.0,10.6,-16.1
1953-12-13T00:00:00,0.0,8.9,-1.7
1953-12-14T00:00:00,0.0,10.0,-9.4
1953-12-15T00:00:00,0.0,11.1,-4.4
1953-12-16T00:00:00,0.0,6.7,-7.2
1953-12-17T00:00:00,0.0,10.0,-2.8
1953-12-18T00:00:00,0.0,9.4,-6.7
1953-12-19T00:00:00,0.0,9.4,-6.7
1953-12-20T00:00:00,0.0,11.7,-3.9
1953-12-21T00:00:00,0.0,3.9,-7.8
1953-12-22T00:00:00,2.0,-5.6,-22.2
1953-12-23T00:00:00,0.0,-1.1,-22.2
1953-12-24T00:00:00,0.0,6.1,-15.0
1953-12-25T00:00:00,0.0,8.9,-9.4
1953-12-26T00:00:00,0.0,6.7,-9.4
1953-12-27T00:00:00,2.5,2.8,-10.0
1953-12-28T00:00:00,0.0,4.4,-17.8
1953-12-29T00:00:00,0.0,2.8,-12.2
1953-12-30T00:00:00,0.0,6.1,-15.0
1953-12-31T00:00:00,0.0,11.1,-11.1
1954-01-01T00:00:00,0.0,10.0,-10.0
1954-01-02T00:00:00,0.0,7.2,-3.3
1954-01-03T00:00:00,0.0,10.0,-6.7
1954-01-04T00:00:00,0.0,11.1,0.6
1954-01-05T00:00:00,0.0,13.3,-6.1
1954-01-06T00:00:00,0.0,16.7,-6.1
1954-01-07T00:00:00,0.0,14.4,-1.1
1954-01-08T00:00:00,0.0,12.2,2.2
1954-01-09T00:00:00,1.3,2.8,-7.8
1954-01-10T00:00:00,1.8,-1.1,-15.6
1954-01-11T00:00:00,0.0,4.4,-15.0
1954-01-12T00:00:00,6.4,-3.9,-8.9
1954-01-13T00:00:00,1.0,1.7,-16.1
1954-01-14T00:00:00,0.0,6.7,-5.0
1954-01-15T00:00:00,0.0,8.3,-6.1
1954-01-16T00:00:00,0.0,12.2,-4.4
1954-01-17T00:00:00,0.0,12.8,-5.0
1954-01-18T00:00:00,0.0,7.8,1.7
1954-01-19T00:00:00,0.0,6.7,1.7
1954-01-20T00:00:00,4.8,2.2,-11.1
1954-01-21T00:00:00,0.0,6.7,-13.9
1954-01-22T00:00:00,0.0,12.8,-11.1
1954-01-23T00:00:00,0.0,10.6,-7.8
1954-01-24T00:00:00,0.0,13.9,3.9
1954-01-25T00:00:00,0.0,8.3,-0.6
1954-01-26T00:00:00,0.0,5.6,-2.8
1954-01-27T00:00:00,0.0,11.7,-6.7
1954-01-28T00:00:00,0.0,13.3,-2.2
1954-01-29T00:00:00,0.0,13.3,-2.2
1954-01-30T00:00:00,0.0,10.0,-1.7
1954-01-31T00:00:00,0.0,14.4,-5.6
1954-02-01T00:00:00,0.0,9.4,-5.6
1954-02-02T00:00:00,0.0,10.6,-11.1
1954-02-03T00:00:00,0.0,14.4,-5.6
1954-02-04T00:00:00,0.0,13.3,-4.4
1954-02-05T00:00:00,0.0,15.6,-4.4
1954-02-06T00:00:00,0.0,12.2,-4.4
1954-02-07T00:00:00,0.0,13.3,-8.9
1954-02-08T00:00:00,0.0,16.1,-5.6
1954-02-09T00:00:00,0.0,16.1,-4.4
1954-02-10T00:00:00,0.0,12.8,-1.1
1954-02-11T00:00:00,0.0,12.2,-5.6
1954-02-12T00:00:00,0.0,16.1,-2.2
1954-02-13T00:00:00,0.0,12.8,-2.8
1954-02-14T00:00:00,0.0,12.2,-2.2
1954-02-15T00:00:00,0.0,8.9,-5.6
1954-02-16T00:00:00,0.0,10.6,-11.1
1954-02-17T00:00:00,0.0,12.8,-7.2
