id,desc,source,lat,lon,type_cd,n_samples,n_tds,n_cond,n_ion_samples,n_iso_samples,tds_min,tds_max,tds_mean,date_oldest,date_newest
NM0023477,FORT SUMNER WASTEWATER PLANT DISCHARGE - NM0023477,NMED,34.44,-104.23,ST,15,1,0,2,0,974.0,974.0,974.0,1999-09-28,2013-10-08
NM0026395-M,Carlsbad WWTP effluent - NM0026395,NMED,32.41,-104.17,ST,9,1,0,1,0,1580.0,1580.0,1580.0,2004-11-17,2013-10-30
08382650,"Pecos River above Santa Rosa Lake, N Mex",NWIS_NM,35.05,-104.76,ST,225,53,124,111,6,128.7,1975.8,539.1,1976-02-27,2015-02-22
08383500,"Pecos River near Puerto de Luna, N Mex",NWIS_NM,34.73,-104.52,ST,889,342,399,321,0,192.0,2871.8,1990.2,1959-09-16,2014-09-29
08396500,"Pecos River near Artesia, N Mex",NWIS_NM,32.84,-104.32,ST,2198,1098,1157,1091,2,461.0,18000.0,5084.5,1959-10-01,2015-02-24
08412500,"Pecos River near Orla, Tex",NWIS_TX,31.87,-103.83,ST,360,171,345,347,2,1190.0,19700.0,9070.1,1969-10-01,2015-02-25
08405200,"Pecos River below Dark Canyon at Carlsbad , N Mex",NWIS_NM,32.4,-104.21,ST,443,11,227,104,2,1300.0,2811.3,2445.6,1969-12-23,2015-02-24
08406500,"Pecos River near Malaga, N Mex",NWIS_NM,32.2,-104.02,ST,1321,775,891,798,1,13.8,25700.0,4999.7,1959-08-03,2015-02-26
08407000,"Pecos River at Pierce Canyon Crossing, N Mex",NWIS_NM,32.18,-103.97,ST,1542,954,1061,1032,1,0.6,54000.0,10389.2,1959-10-01,2015-02-25
08384500,"Pecos River below Sumner Dam, N Mex",NWIS_NM,34.6,-104.38,ST,2311,174,1897,143,15,536.0,2770.0,1497.9,1907-03-23,2011-05-04
08387000,"Rio Ruidoso at Hollywood, N Mex",NWIS_NM,33.32,-105.62,ST,482,28,105,98,1,252.0,884.0,618.5,1960-02-18,2013-11-05
08377900,"Rio Mora near Terrero, N. Mex",NWIS_NM,35.77,-105.65,ST,463,311,260,211,3,20.0,138.0,63.7,1962-11-06,2014-10-08
08404000,"Pecos River below Avalon Dam, N Mex",NWIS_NM,32.48,-104.26,ST,65,1,4,4,0,3420.0,3420.0,3420.0,1960-07-15,2010-11-05
08385522,"Pecos River below Taiban Creek near Fort Sunmer,N Mex",NWIS_NM,34.33,-104.18,ST,75,1,29,29,1,2152.1,2152.1,2152.1,1992-12-14,2015-02-25
08385000,"Fort Sumner Main Canal near Fort Sumner, N Mex",NWIS_NM,34.5,-104.27,ST-CA,305,0,1,1,0,,,,1959-09-17,2011-05-04
08401500,"Pecos River below Brantley Dam near Carlsbad , N Mex",NWIS_NM,32.54,-104.37,ST,343,19,142,98,0,2750.0,6130.0,4063.2,1959-10-07,2011-02-04
08380500,"Gallinas Creek near Montezuma, N Mex",NWIS_NM,35.65,-105.31,ST,94,47,72,72,0,94.0,187.0,142.8,1900-07-01,2009-02-11
08386505,"Rio Ruidoso at Ruidoso, N Mex",NWIS_NM,33.33,-105.72,ST,46,3,3,3,1,171.7,259.7,209.6,2003-04-08,2013-11-05
08399500,"Pecos River (Kaiser Channel) near Lakewood, N Mex",NWIS_NM,32.68,-104.29,ST,590,9,44,44,0,1920.0,10500.0,7130.0,1960-02-01,2009-09-16
08395500,"Pecos River near Lake Arthur, N Mex",NWIS_NM,32.98,-104.32,ST,625,0,3,2,0,,,,1960-01-28,2012-09-14
08379500,"Pecos River near Anton Chico, N Mex",NWIS_NM,35.17,-105.1,ST,509,158,124,121,0,98.0,426.0,174.5,1959-08-31,2010-08-31
08406000,"Black River at MALAGA, N Mex",NWIS_NM,32.24,-104.06,ST,66,0,1,0,0,,,,2003-01-15,2015-02-25
08385630,"Pecos River near Dunlap, N Mex",NWIS_NM,34.06,-104.3,ST,42,0,1,0,0,,,,2003-02-03,2015-02-25
08408500,"Delaware River near Red Bluff , N Mex",NWIS_NM,32.02,-104.05,ST,64,1,1,1,0,1980.0,1980.0,1980.0,1966-08-24,2011-02-01
08402000,"Pecos River at damsite 3 near Carlsbad , N Mex",NWIS_NM,32.51,-104.33,ST,788,17,388,389,0,467.0,4590.0,3117.2,1959-08-03,2011-02-04
08407500,"Pecos River at Red Bluff , N Mex",NWIS_NM,32.07,-104.03,ST,1242,905,804,754,10,66.9,32800.0,10253.7,1959-03-14,2015-02-25
08378500,"Pecos River near Pecos, N Mex",NWIS_NM,35.7,-105.68,ST,90,0,59,3,0,,,,1963-05-15,2011-02-28
08386000,"Pecos River near Acme, N Mex",NWIS_NM,33.57,-104.37,ST,1489,729,806,776,1,1.8,11600.0,2881.3,1900-07-01,2015-02-23
08405450,"BLUE SpringS above DIVERSIONS near WhiteS CITY, N Mex",NWIS_NM,32.18,-104.28,ST,117,2,48,41,0,1060.0,1120.0,1090.0,1974-01-04,2011-02-07
08382500,"Gallinas River near Colonias, N Mex",NWIS_NM,35.18,-104.9,ST,166,3,3,3,0,331.8,715.9,565.9,1959-08-31,2010-08-31
08394024,"Pecos River north boundary (BLM wetlands) near Dexter, N Mex",NWIS_NM,33.31,-104.36,ST,37,0,1,0,0,,,,2003-01-07,2015-02-24
08394033,"Pecos River south boundary (BLM wetlands) near Dexter, N Mex",NWIS_NM,33.26,-104.35,ST,39,1,1,1,1,5526.6,5526.6,5526.6,2003-10-24,2015-02-24
08387600,"EAGLE CREEK BELOW SOUTH FORK near ALTO, N Mex",NWIS_NM,33.39,-105.72,ST,173,2,2,2,0,232.8,458.2,345.5,1957-01-24,2013-07-22
08398500,"Rio Penasco at Dayton, N Mex",NWIS_NM,32.74,-104.41,ST,42,1,1,1,0,225.0,225.0,225.0,1960-07-09,2006-09-05
08401900,"Rocky Arroyo at HWY BRD near Carlsbad , N Mex",NWIS_NM,32.5,-104.37,ST,35,2,2,2,0,104.0,702.0,403.0,1965-04-27,2007-05-08
08390500,"Rio Hondo at Diamon A Ranch near Roswell , N Mex",NWIS_NM,33.34,-104.85,ST,176,6,6,6,0,292.0,1450.0,840.3,1960-06-10,2007-12-05
332413105441601,10S.12E.36.121A Projected MW1A,NWIS_NM,33.4,-105.73,GW,2,1,1,2,1,166.8,166.8,166.8,2007-06-19,2008-09-04
332419105441901,10S.12E.25.343A Projected MW1B,NWIS_NM,33.4,-105.73,GW,5,4,5,5,4,192.3,207.4,199.9,2007-06-22,2009-03-19
332419105441902,10S.12E.25.343B Projected MW1C,NWIS_NM,33.4,-105.73,GW,5,4,5,5,4,225.5,234.7,228.8,2007-06-21,2009-03-19
332410105441501,10S.12E.36.124A Projected MW2A,NWIS_NM,33.4,-105.73,GW,1,0,1,1,0,,,,2007-06-19,2007-06-19
332405105441201,10S.12E.36.124B Projected MW3A,NWIS_NM,33.4,-105.73,GW,2,1,2,2,1,169.9,169.9,169.9,2007-06-20,2008-09-06
332357105440401,10S.12E.36.234A Projected MW5A,NWIS_NM,33.39,-105.73,GW,3,2,3,3,1,195.3,357.7,276.5,2007-06-20,2008-11-18
08387575,"South Fork Eagle Creek near Alto, N Mex",NWIS_NM,33.39,-105.72,ST,1,1,1,1,0,503.7,503.7,503.7,2008-06-12,2008-06-12
08387550,"North Fork Eagle Creek near Alto, N Mex",NWIS_NM,33.4,-105.74,ST,8,4,4,4,4,117.6,171.6,141.0,2008-02-06,2009-05-04
332402105441402,10S.12E.36.124D Projected MW4C,NWIS_NM,33.4,-105.73,GW,4,4,4,4,4,549.1,612.3,592.9,2008-06-19,2009-03-18
332402105441201,10S.12E.36.231 NF-4,NWIS_NM,33.4,-105.73,GW,4,4,4,4,4,680.1,796.7,723.7,2008-06-12,2009-03-18
332413105441801,10S.12E..36.121B Projected,NWIS_NM,33.4,-105.73,GW,2,2,2,2,2,373.1,417.3,395.2,2008-06-12,2008-09-04
332402105441401,10S.12E.36.124C Projected MW4B,NWIS_NM,33.4,-105.73,GW,3,3,3,3,3,442.0,539.3,490.1,2008-09-05,2009-03-17
332402105441410,Carleton Canyon near MW4,NWIS_NM,33.4,-105.73,ST,1,1,1,1,1,423.8,423.8,423.8,2008-09-05,2008-09-05
332720105450410,10S.11E.12 Rio Bonito at West Fork Campground,NWIS_NM,33.45,-105.75,ST,4,4,4,4,1,266.1,423.9,345.6,2012-07-11,2013-11-04
08388500,"Rio Bonito at Highway 48 bridge near Alto, N Mex",NWIS_NM,33.44,-105.66,ST,4,4,4,4,1,501.8,659.6,597.8,2012-07-11,2013-11-05
332206105320510,11S.14E.12.323 Rio Ruidoso at GLENCOE,NWIS_NM,33.36,-105.53,ST,3,3,3,3,1,1121.4,1469.6,1263.2,2012-07-11,2013-11-05
08388000,"Rio Ruidoso at Hondo, N Mex",NWIS_NM,33.38,-105.27,ST,3,3,3,3,1,1066.2,1623.9,1400.8,2012-07-11,2013-11-06
08389500,"Rio Bonito at Hondo, N Mex",NWIS_NM,33.38,-105.27,ST,4,4,4,4,1,884.5,1515.8,1146.2,2012-07-12,2013-11-06
08389055,"Rio Bonito near Lincoln, N Mex",NWIS_NM,33.52,-105.46,ST,1,1,1,1,0,718.1,718.1,718.1,2012-07-12,2012-07-12
08390020,"Rio Hondo above Chavez Canyon near Hondo, N Mex",NWIS_NM,33.37,-105.25,ST,3,3,3,3,0,1244.2,1319.7,1284.1,2013-04-03,2013-11-06
332635105401001,Camp Nazarene Canyon Well,NWIS_NM,33.44,-105.66,GW,1,1,1,1,1,1509.3,1509.3,1509.3,2013-05-07,2013-05-07
333149105302601,VILLAGE of CAPITAN BACKUP well,NWIS_NM,33.53,-105.5,GW,1,1,1,1,1,989.7,989.7,989.7,2013-05-08,2013-05-08
332929105232501,Lincoln Community Well,NWIS_NM,33.49,-105.39,GW,1,1,1,1,1,1537.7,1537.7,1537.7,2013-05-09,2013-05-09
332437105170301,10S.17E.29.423,NWIS_NM,33.41,-105.28,GW,1,1,1,1,1,1634.0,1634.0,1634.0,2013-05-09,2013-05-09
332355105472301,Ski Apache Big,NWIS_NM,33.39,-105.78,GW,1,1,1,1,1,496.8,496.8,496.8,2013-06-25,2013-06-25
332437105265601,Glencoe Deep,NWIS_NM,33.41,-105.44,GW,1,1,1,1,1,1179.6,1179.6,1179.6,2013-06-25,2013-06-25
332247105383401,11S.13E.02.44111,NWIS_NM,33.37,-105.64,GW,1,1,1,1,1,2492.3,2492.3,2492.3,2013-06-26,2013-06-26
333118105282001,Government Springs Upper,NWIS_NM,33.52,-105.47,SP,1,1,1,1,0,1938.3,1938.3,1938.3,2013-06-26,2013-06-26
332123105405201,Cedar Creek USFS Lincoln,NWIS_NM,33.35,-105.68,GW,1,1,1,1,1,1041.0,1041.0,1041.0,2013-06-24,2013-06-24
331937105350701,11S.14E.28.321 HALE SP,NWIS_NM,33.32,-105.58,SP,3,1,2,2,1,1190.0,1190.0,1190.0,1955-04-27,2013-11-07
332430104235610,Bitter Lake NWR south weir inflow,NWIS_NM,33.4,-104.39,ST,1,1,1,1,1,6847.4,6847.4,6847.4,2015-02-23,2015-02-23
345701104422710,"Pecos River abv. Santa Rosa, N Mex",NWIS_NM,34.95,-104.7,ST,1,1,1,1,1,2561.6,2561.6,2561.6,2015-02-22,2015-02-22
331856104195310,Lea Lake Outflow,NWIS_NM,33.31,-104.33,ST,1,1,1,1,1,8522.4,8522.4,8522.4,2015-02-24,2015-02-24
332322104235610,Rio Hondo new channel near Hwy 380,NWIS_NM,33.38,-104.39,ST,1,1,1,1,1,7644.3,7644.3,7644.3,2015-02-23,2015-02-23
335054103550001,Elida Well 1,NWIS_NM,33.84,-103.91,GW,2,1,1,1,1,1154.0,1154.0,1154.0,2015-03-26,2015-03-26
08379187,"Tecolote Creek BL Wright Canyon near El Porvenir , N Mex",NWIS_NM,35.67,-105.46,ST,333,30,327,32,0,80.0,166.0,129.7,1900-05-24,1992-10-08
333648104223901,08S.25E.22,NWIS_NM,33.61,-104.37,SP,1,1,0,1,0,8360.0,8360.0,8360.0,1923-12-18,1923-12-18
325557105164801,16S.16E.11.342 Paul Springs,NWIS_NM,32.93,-105.28,SP,1,1,0,1,0,220.0,220.0,220.0,1925-08-19,1925-08-19
330845104574901,13S.20E.33.230,NWIS_NM,33.14,-104.96,GW,1,2,0,1,0,597.0,616.0,606.5,1927-01-05,1927-01-05
332311104415001,11S.22E.02.13 well 1658,NWIS_NM,33.38,-104.69,GW,1,1,0,1,0,1121.0,1121.0,1121.0,1926-12-28,1926-12-28
332337104321601,10S.24E.31.4 C ALSTON,NWIS_NM,33.41,-104.54,GW,1,2,0,1,0,928.0,975.0,951.5,1926-12-28,1926-12-28
332616104060601,10S.28E.21,NWIS_NM,33.43,-104.1,GW,1,2,0,1,0,1737.0,1885.0,1811.0,1927-04-05,1927-04-05
332916104353601,09S.23E.35.13 CA MORLEY,NWIS_NM,33.49,-104.59,GW,1,2,0,1,0,3226.0,3530.0,3378.0,1926-11-12,1926-11-12
333102104381201,09S.23E.20.14 CA MORLEY,NWIS_NM,33.51,-104.64,GW,1,2,0,1,0,1354.0,1421.0,1387.5,1927-01-26,1927-01-26
325540104445001,16S.21E.12.34 DW RUNYAN,NWIS_NM,32.93,-104.75,GW,1,0,0,1,0,,,,1927-01-28,1927-01-28
324521104223401,18S.26E.10.33 WORLEY,NWIS_NM,32.75,-104.37,GW,1,0,0,1,0,,,,1927-04-09,1927-04-09
324228103565701,18S.30E.26.3,NWIS_NM,32.71,-103.94,GW,1,0,0,1,0,,,,1927-02-02,1927-02-02
323658104484601,19S.21E.32.32 WHITAKER WL,NWIS_NM,32.61,-104.81,GW,1,0,0,1,0,,,,1927-03-26,1927-03-26
323736103524601,19S.31E.28.331 LUSK Ranch,NWIS_NM,32.62,-103.88,GW,2,1,1,2,0,855.0,855.0,855.0,1927-01-25,1950-05-01
323542104385501,20S.23E.12.11 JOYCE JF,NWIS_NM,32.59,-104.65,GW,1,1,0,1,0,2646.0,2646.0,2646.0,1927-04-16,1927-04-16
323448103570201,20S.30E.10 WATER HOLE well,NWIS_NM,32.58,-103.95,GW,1,1,0,1,0,2292.0,2292.0,2292.0,1927-01-25,1927-01-25
322938104495901,21S.21E.07.42 FRNSWRTH,NWIS_NM,32.49,-104.83,GW,1,1,0,1,0,384.0,384.0,384.0,1927-03-23,1927-03-23
324654104220401,18S.26E.03.21111,NWIS_NM,32.78,-104.36,GW,1,2,0,1,0,4635.0,5359.0,4997.0,1928-05-21,1928-05-21
332231104273301,11S.24E.12.21333 JP White,NWIS_NM,33.37,-104.45,GW,4,1,3,4,0,1840.0,1840.0,1840.0,1928-05-10,1956-04-20
332336104280401,11S.24E.01.11113,NWIS_NM,33.39,-104.46,GW,6,4,5,6,0,1801.0,2164.0,1927.2,1928-05-10,1957-06-24
332522104280801,10S.24E.25.13133 GARROD J A,NWIS_NM,33.42,-104.46,GW,1,2,0,1,0,5630.0,5668.0,5649.0,1928-05-10,1928-05-10
332523104291001,10S.24E.23.331421 CNTRY CLB,NWIS_NM,33.42,-104.48,GW,2,3,1,2,0,3314.0,3900.0,3514.0,1928-05-10,1939-02-09
332536104280901,10S.24E.23.424 URTON,NWIS_NM,33.42,-104.47,GW,3,5,2,3,0,5160.0,6980.0,6008.4,1928-05-10,1940-07-24
332616104291102,10S.24E.15. IRA PARKA,NWIS_NM,33.43,-104.48,GW,1,2,0,1,0,4650.0,4699.0,4674.5,1928-05-10,1928-05-10
332616104321401,10S.24E.17.33333 B.IRR.FRMS,NWIS_NM,33.43,-104.53,GW,5,2,4,5,0,1210.0,1260.0,1235.0,1928-05-10,1964-03-02
332628104294001,10S.24E.15.431 MARSHALL,NWIS_NM,33.44,-104.49,GW,4,2,3,4,0,2290.0,2340.0,2315.0,1928-05-10,1964-08-04
332628104294101,10S.24E.15.342121,NWIS_NM,33.44,-104.49,GW,7,6,6,7,0,1850.0,2190.0,2072.8,1928-05-10,1964-08-07
332655104291101,10S.24E.15.32121 BEN AMES,NWIS_NM,33.44,-104.48,GW,5,3,4,5,0,1457.0,1550.0,1505.3,1928-05-10,1952-05-12
325640104274601,16S.25E.02.3 Pearson O,NWIS_NM,32.95,-104.45,GW,1,1,0,1,0,2134.0,2134.0,2134.0,1928-05-21,1928-05-21
325639104315401,16S.25E.07.11 Worley,NWIS_NM,32.94,-104.53,GW,1,1,0,1,0,890.0,890.0,890.0,1928-05-21,1928-05-21
325719104283401,16S.25E.03.114 O'Bannon,NWIS_NM,32.96,-104.47,GW,1,1,0,1,0,2157.0,2157.0,2157.0,1928-05-21,1928-05-21
325640104305201,16S.25E.05.3 Krumm,NWIS_NM,32.94,-104.51,GW,1,1,0,1,0,1364.0,1364.0,1364.0,1928-05-21,1928-05-21
325101104221001,17S.26E.10.433A SULLIVAN,NWIS_NM,32.84,-104.36,GW,4,1,4,4,0,902.0,902.0,902.0,1928-05-21,1957-09-18
324654104233501,18S.26E.04.111B F WATKINS,NWIS_NM,32.78,-104.39,GW,2,1,1,2,0,847.0,847.0,847.0,1928-05-21,1944-02-11
324559104223401,18S.26E.10.13 FRISCH,NWIS_NM,32.76,-104.37,GW,2,1,0,1,0,1262.0,1262.0,1262.0,1928-05-21,1939-02-06
324509104204901,18S.26E.14.23,NWIS_NM,32.74,-104.35,GW,1,1,0,1,0,1382.0,1382.0,1382.0,1928-05-21,1928-05-21
324457104223401,18S.26E.15.13,NWIS_NM,32.74,-104.37,GW,1,1,0,1,0,949.0,949.0,949.0,1928-05-21,1928-05-21
324419104225001,18S.26E.21.223 #1308FIEDLER,NWIS_NM,32.73,-104.38,GW,1,1,0,1,0,3494.0,3494.0,3494.0,1928-05-21,1928-05-21
323734104220901,19S.26E.34.12,NWIS_NM,32.62,-104.37,GW,2,1,1,2,0,1300.0,1300.0,1300.0,1928-05-21,1929-02-06
323616104251101,20S.26E.26.23 BUSS,NWIS_NM,32.54,-104.35,GW,2,1,1,2,0,1250.0,1250.0,1250.0,1928-05-21,1939-02-02
323718103225801,19S.36E.32.110,NWIS_NM,32.62,-103.38,GW,1,1,0,1,0,668.0,668.0,668.0,1929-11-20,1929-11-20
323237103395801,20S.33E.28.23,NWIS_NM,32.54,-103.66,GW,4,4,0,4,0,430.0,1224.0,819.8,1931-11-05,1931-11-05
334959103450301,05S.30E.26.,NWIS_NM,33.84,-103.76,GW,2,4,1,2,0,884.0,981.0,933.2,1931-11-10,1940-11-29
343524103431101,04N.31E.06.4,NWIS_NM,34.59,-103.72,GW,1,2,0,1,0,369.0,388.0,378.5,1931-11-12,1931-11-12
322717104291801,Seven Rivers Hills,NWIS_NM,32.45,-104.48,SP,1,0,1,1,0,,,,1938-04-24,1938-04-24
323812103183501,19S.36E.25.123+DUP,NWIS_NM,32.63,-103.31,GW,1,0,1,1,0,,,,1938-04-09,1938-04-09
323813103183801,19S.36E.25.123,NWIS_NM,32.63,-103.31,SP,1,0,1,1,0,,,,1938-04-09,1938-04-09
332858103554401,09S.30E.36 J BEADLE,NWIS_NM,33.48,-103.92,GW,1,0,1,1,0,,,,1938-07-13,1938-07-13
325705104305201,16S.25E.05.311 Krumm,NWIS_NM,32.95,-104.51,GW,1,0,1,1,0,,,,1938-02-08,1938-02-08
323400104234201,20S.26E.21.CARPENTER well,NWIS_NM,32.56,-104.39,GW,3,0,3,3,0,,,,1938-05-26,1940-07-11
322759104161201,21S.26E.23.13333 J BOYD,NWIS_NM,32.46,-104.27,GW,12,3,12,12,0,1180.0,3510.0,2503.3,1938-07-13,1956-01-27
322645104151101,21S.26E.25.331,NWIS_NM,32.44,-104.25,SP,3,2,3,3,0,3312.0,3350.0,3331.0,1939-08-25,1964-12-31
332431104235001,10S.25E.28. SP OPPOSITE BITR CK,NWIS_NM,33.4,-104.39,SP,1,0,1,1,0,,,,1939-04-19,1939-04-19
332500105210001,10S.16E.27.0 GROUSE SP,NWIS_NM,33.41,-105.35,SP,1,2,1,1,0,1326.0,1417.0,1371.5,1939-04-16,1939-04-16
332616104234901,10S.25E.3 SEEP,NWIS_NM,33.43,-104.39,SP,1,1,1,1,0,12800.0,12800.0,12800.0,1939-04-19,1939-04-19
332616104234902,10S.25E.3 SEEPA,NWIS_NM,33.43,-104.39,SP,1,1,1,1,0,16970.0,16970.0,16970.0,1939-04-19,1939-04-19
332642104314401,10S.24E.17.233 PERRINE,NWIS_NM,33.44,-104.52,GW,4,2,4,4,0,1890.0,2330.0,2110.0,1939-02-10,1964-08-05
332648104305001,10S.24E.16.231,NWIS_NM,33.44,-104.51,SP,1,1,0,1,0,1650.0,1650.0,1650.0,1939-02-10,1939-02-10
332654104304201,10S.24E.16.231 ARMSTRNG,NWIS_NM,33.44,-104.51,GW,3,1,3,3,0,1650.0,1650.0,1650.0,1939-02-10,1958-01-30
332728104222801,10S.25E.11.3 BTR LKS,NWIS_NM,33.45,-104.37,SP,1,1,1,1,0,95000.0,95000.0,95000.0,1939-05-13,1939-05-13
334530104150401,06S.26E.25.43 Bosque Spring,NWIS_NM,33.76,-104.24,SP,4,1,4,4,0,3300.0,3300.0,3300.0,1939-03-10,1956-12-13
334544104142301,06S.27E.30.313 Bosque Spring,NWIS_NM,33.76,-104.24,SP,1,0,1,1,0,,,,1939-03-10,1939-03-10
334932104155401,05S.25E.36.423 Crockett Spring,NWIS_NM,33.82,-104.26,SP,1,0,1,1,0,,,,1939-03-13,1939-03-13
335104104154601,05S.25E.24.444 Six Mile Spring,NWIS_NM,33.85,-104.26,SP,1,0,1,1,0,,,,1939-03-13,1939-03-13
335618104112701,04S.26E.23. HERNANDZ LK,NWIS_NM,33.93,-104.19,ST,1,0,1,1,0,,,,1939-04-22,1939-04-22
335708104102701,04S.26E.21. WEST Well,NWIS_NM,33.95,-104.17,GW,1,0,1,1,0,,,,1939-03-16,1939-03-16
335851104102701,04S.26E.02. SALT LK,NWIS_NM,33.98,-104.17,ST,1,0,1,1,0,,,,1939-04-22,1939-04-22
340713104173501,02S.25E.22.422 Bar V,NWIS_NM,34.12,-104.29,GW,1,1,1,1,0,915.0,915.0,915.0,1939-03-16,1939-03-16
345531104413301,08N.21E.10.444+DUP,NWIS_NM,34.92,-104.69,SP,5,5,5,5,0,2410.0,2980.0,2600.0,1939-07-21,1951-03-20
345555104404201,08N.21E.11.412,NWIS_NM,34.93,-104.67,SP,1,0,1,1,0,,,,1939-07-22,1939-07-22
345625104402101,08N.21E.01.333 Blue Hole Spring,NWIS_NM,34.94,-104.67,SP,18,22,18,18,0,2410.0,2790.0,2495.0,1939-07-22,1959-11-13
325548104293601,16S.25E.09.334,NWIS_NM,32.93,-104.49,GW,6,0,6,6,0,,,,1939-02-08,1959-03-03
325624104254201,16S.27E.07.131,NWIS_NM,32.94,-104.32,GW,1,0,1,1,0,,,,1939-02-09,1939-02-09
325638104071101,16S.28E.12.,NWIS_NM,32.94,-104.12,SP,1,0,1,1,0,,,,1939-05-03,1939-05-03
324849104261801,17S.25E.24.344,NWIS_NM,32.81,-104.43,GW,1,0,0,1,0,,,,1939-02-09,1939-02-09
325032104254601,17S.26E.07.333A,NWIS_NM,32.84,-104.42,GW,1,0,0,1,0,,,,1939-02-09,1939-02-09
324914104220901,17S.26E.22.233 MORGAN,NWIS_NM,32.82,-104.36,GW,1,0,1,1,0,,,,1939-02-06,1939-02-06
323456104234201,20S.26E.08. A WEISTMAN,NWIS_NM,32.58,-104.39,GW,1,0,1,1,0,,,,1939-03-25,1939-03-25
322913104232901,21S.25E.09 ROCKY ARROYO,NWIS_NM,32.48,-104.39,GW,1,1,1,1,0,1266.0,1266.0,1266.0,1939-03-09,1939-03-09
322627104152801,21S.26E.35.214 PIPKIN RL,NWIS_NM,32.44,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322637104152701,21S.26E.35.223A NORM HARRIS,NWIS_NM,32.44,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322637104152702,21S.26E.35.223B EDWARDS#40,NWIS_NM,32.44,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322626104152801,21S.26E.35.232A S JONES,NWIS_NM,32.43,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322626104152802,21S.26E.35.232B MH HOLLEY,NWIS_NM,32.43,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322614104152801,21S.26E.35.234A EL RUPERT,NWIS_NM,32.43,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322614104152802,21S.26E.35.234B WC BRANDON,NWIS_NM,32.43,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322626104152701,21S.26E.35.241 F COX #37,NWIS_NM,32.43,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322613104152801,21S.26E.35.412 P KENNEDY #44,NWIS_NM,32.43,-104.26,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322601104152801,21S.26E.35.414 H BUSE #45,NWIS_NM,32.43,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322600104152801,21S.26E.35.432 DICKSON IRR,NWIS_NM,32.43,-104.25,GW,1,0,1,1,0,,,,1939-09-25,1939-09-25
322548104151301,21S.26E.35.444 T MCKINNEY,NWIS_NM,32.42,-104.25,GW,1,0,1,1,0,,,,1939-09-26,1939-09-26
321052104175201,24S.26E.28.344 BLUE SP,NWIS_NM,32.18,-104.29,SP,3,1,3,3,0,1060.0,1060.0,1060.0,1940-07-23,1957-10-14
323403104204201,20S.26E.14. BREWER OIL TEST,NWIS_NM,32.56,-104.34,GW,3,5,3,3,0,2394.0,3370.0,2878.8,1940-09-09,1940-10-16
324612104213301,18S.26E.02.33333,NWIS_NM,32.77,-104.35,GW,1,2,1,1,0,2200.0,2444.0,2322.0,1940-07-23,1940-07-23
325920104192301,15S.26E.27.232,NWIS_NM,32.98,-104.32,SP,1,0,1,1,0,,,,1940-06-04,1940-06-04
331756104241901,12S.25E.02 well 397 ORCHARD PARK,NWIS_NM,33.29,-104.4,GW,1,2,1,1,0,2279.0,2580.0,2429.5,1940-07-23,1940-07-23
331918104214701,11S.25E.26.444,NWIS_NM,33.32,-104.36,SP,1,1,1,1,0,3620.0,3620.0,3620.0,1940-04-04,1940-04-04
331953104310901,11S.24E.28.113 ROCKY ARROYO SCHOOL,NWIS_NM,33.33,-104.52,GW,1,2,1,1,0,1520.0,1708.0,1614.0,1940-07-23,1940-07-23
332004104195501,11S.26E.27.321,NWIS_NM,33.33,-104.33,SP,1,0,1,1,0,,,,1939-10-25,1939-10-25
332116104235501,11S.25E.15.313,NWIS_NM,33.35,-104.39,SP,1,1,1,1,0,4070.0,4070.0,4070.0,1940-04-10,1940-04-10
332125104285001,11S.24E.14.143334 First National Bank,NWIS_NM,33.35,-104.48,GW,1,2,1,1,0,838.0,900.0,869.0,1940-05-30,1940-05-30
332243104300701,11S.24E.10.11,NWIS_NM,33.37,-104.5,GW,1,2,1,1,0,1190.0,1248.0,1219.0,1940-05-30,1940-05-30
332349104301101,10S.24E.34.331 512ATKNSN,NWIS_NM,33.39,-104.5,GW,1,1,1,1,0,1170.0,1170.0,1170.0,1940-03-25,1940-03-25
332429104280901,10S.24E.35.222113A HAG.DEV,NWIS_NM,33.4,-104.46,GW,10,11,10,10,0,4700.0,11020.0,6750.0,1940-02-07,1963-05-01
332429104311401,10S.24E.35.22,NWIS_NM,33.4,-104.47,SP,2,4,2,2,0,3170.0,3392.0,3263.0,1940-03-25,1941-03-31
332430104281601,10S.24E.35.220,NWIS_NM,33.4,-104.47,SP,2,3,2,2,0,3170.0,3392.0,3267.3,1940-03-25,1941-03-31
332439104280903,10S.24E.35.222C HAG.DEV,NWIS_NM,33.4,-104.47,GW,12,13,12,12,0,3450.0,5650.0,4452.3,1940-03-08,1951-05-01
