id,desc,source,lat,lon,type_cd,n_samples,n_tds,n_cond,n_ion_samples,n_iso_samples,tds_min,tds_max,tds_mean,date_oldest,date_newest
4525513,O.E. Charilland,TWDB,31.58,-102.91,GW,1,1,1,1,0,2535.0,2535.0,2535.0,1972-05-15,1972-05-15
5301608,Kalico Orchards,TWDB,30.92,-102.87,GW,1,1,1,1,0,3303.0,3303.0,3303.0,2007-04-10,2007-04-10
5301609,Bill Johnson,TWDB,30.92,-102.89,GW,1,1,1,1,0,1573.0,1573.0,1573.0,2010-05-10,2010-05-10
5301703,T.B. Armentrout,TWDB,30.87,-102.97,GW,1,1,1,1,0,293.0,293.0,293.0,1970-08-19,1970-08-19
5301705,L.V.Braden,TWDB,30.87,-102.97,GW,1,1,1,1,0,3079.0,3079.0,3079.0,1970-08-19,1970-08-19
5301706,L.V. Braden,TWDB,30.88,-102.96,GW,1,1,1,1,0,4381.0,4381.0,4381.0,1970-08-19,1970-08-19
4525603,City of Monahans,TWDB,31.58,-102.9,GW,5,5,3,5,0,318.0,829.0,474.6,1956-06-12,1968-09-09
5301903,Mrs. B.F. Webb,TWDB,30.9,-102.88,GW,2,2,2,2,0,1354.0,4694.0,3024.0,1975-07-24,1979-07-12
5301906,Comanche Spring,TWDB,30.88,-102.87,SP,11,11,11,11,0,1312.0,2469.0,1742.7,1946-10-09,2006-01-12
5301908,City of Fort Stockton ,TWDB,30.88,-102.88,GW,1,1,1,1,0,2499.0,2499.0,2499.0,1993-04-14,1993-04-14
5301909,City of Fort Stockton ,TWDB,30.89,-102.88,GW,2,2,2,2,0,2390.0,2541.0,2465.5,1993-04-15,1998-09-14
5301911,ST. Agnes Catholic,TWDB,30.91,-102.88,GW,1,1,1,1,0,3642.0,3642.0,3642.0,2007-04-10,2007-04-10
5302102,Harrison Dyche,TWDB,30.97,-102.85,GW,3,3,3,3,0,3955.0,4314.0,4088.7,1971-12-13,1979-07-12
5302104,Ed Sullivan,TWDB,30.96,-102.86,GW,1,1,1,1,0,2335.0,2335.0,2335.0,1969-06-11,1969-06-11
5302105,Anson Sullivan,TWDB,30.96,-102.86,GW,1,1,1,1,0,3515.0,3515.0,3515.0,1970-08-28,1970-08-28
